#1:ID 	 2:zbest 	 3:M_med 	 4:RA 	 5:DEC 	 6:IRAC_Ch1_FLUX 	 7:IRAC_Ch1_FLUXERR 	 8:IRAC_Ch2_FLUX 	 9:IRAC_Ch2_FLUXERR 	 10:IRAC_Ch3_FLUX 	 11:IRAC_Ch3_FLUXERR 	 12:IRAC_Ch4_FLUX 	 13:IRAC_Ch4_FLUXERR 	 14:f_IRAC_58 	 15:f_IRAC_80 	 16:f_MIPS24 	 17:f_MIPS70 	 18:f_MIPS160 	 19:f_PACS_100 	 20:f_PACS_160 	 21:f_SPIRE_250 	 22:f_SPIRE_350 	 23:f_SPIRE_500 


616     2.0364  9.60735   150.1199617    2.1885356      0.921694       0.196348       0.962593       0.202787       -8.67943    5.19758     3.55991     5.4334      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
621     1.2     9.83977   150.0670432    2.1880087      6.25689        0.17489        6.74215        0.136993       -0.757908   3.2653      3.28528     3.43046     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
629     2.57    9.62023   150.0694162    2.1886903      0.153984       0.23116        0.230045       0.177527       -1.27913    4.19292     -4.43493    4.52932     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
630     1.57    9.56099   150.1893341    2.1887656      1.78095        0.135749       2.05548        0.141928       0.0176258   3.14192     1.54209     3.74511     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
631     1.5072  9.61857   150.1197587    2.1886074      0.270393       0.265144       0.760981       0.269404       8.01166     6.98333     -4.93494    7.42061     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
634     1.52    9.65995   150.0730914    2.1886329      2.47084        0.143946       3.26856        0.115492       0.965388    2.78437     0.581747    3.17379     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
644     3.01    9.66683   150.0535364    2.1890866      0.510395       0.18631        0.53587        0.134056       1.49164     2.453       1.79928     2.56725     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
654     0.907   9.99849   150.0626977    2.1883222      15.4736        0.222503       11.3822        0.170947       9.79035     3.76083     3.93971     3.80017     0.0       0.0       86.222    0.0       0.0       1920.5    4961.8    0.0       0.0       0.0       
658     1.37    9.65523   150.0649798    2.1887014      2.74215        0.161996       2.95733        0.125596       2.9017      2.96969     -1.09749    2.99201     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
679     2.174   10.4378   150.1196845    2.1888618      3.73273        0.171298       3.82476        0.17036        4.61795     4.56507     3.52058     4.84772     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
680     0.71    10.1986   150.1467344    2.1874106      19.8732        0.137131       14.4188        0.142515       1.20409     3.67522     7.2426      4.58695     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
684     0.94    9.69909   150.0715916    2.1884531      7.41196        0.151866       5.72633        0.120192       11.0685     2.89314     4.1119      3.19003     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
