#  RA_x                DEC_x         flux_F         flux_S         flux_H             HR
                                                                                                                                                                                     
  1.504140742320E+002  2.109308032290E+000  3.180000E-015  1.060000E-015 -4.850000E-015 -5.700000E-001
  1.504209321380E+002  2.112489981460E+000  6.520000E-015  2.380000E-015  3.010000E-015 -4.500000E-001
  1.504247344730E+002  1.969511434290E+000  8.880000E-015  1.760000E-015  6.310000E-015 -1.800000E-001
  1.499358099776E+002  2.440589674000E+000  1.470000E-014  2.560000E-015  1.720000E-014  1.500000E-001
  1.498678900071E+002  2.351861506600E+000  3.120000E-015  4.720000E-016  3.530000E-015  8.000000E-002
  1.499037499906E+002  2.386501986900E+000  1.810000E-015  4.320000E-016  1.610000E-015 -3.400000E-001
  1.498390299594E+002  2.407744219100E+000  3.530000E-015  1.150000E-015  2.060000E-015 -5.100000E-001
  1.502997580420E+002  2.507044512560E+000  1.710000E-014  5.620000E-015  1.040000E-014 -3.500000E-001
  1.498642600167E+002  2.355103968700E+000  3.050000E-015  5.670000E-016  3.710000E-015  7.000000E-002
  1.503685793390E+002  1.992343116820E+000  3.120000E-015  7.900000E-016 -6.560000E-015  3.000000E-001
  1.498701199590E+002  2.351968801500E+000  3.140000E-015  8.750000E-016 -1.300000E-014 -9.900000E+001
  1.498852099867E+002  2.372808172400E+000  1.730000E-015  4.260000E-016 -1.020000E-014  9.000000E-002
  1.501790008545E+002  2.009094000000E+000 -5.730000E-015  3.240000E-016 -4.500000E-016 -9.900000E+001
  1.498809599595E+002  2.450894071900E+000  1.340000E-014  4.590000E-015  3.650000E-015 -7.200000E-001
  1.498395099816E+002  2.460629019600E+000  2.180000E-015  5.600000E-016 -8.630000E-015 -2.000000E-002
  1.498760999860E+002  2.381799004800E+000  2.140000E-015  5.030000E-016 -1.020000E-014 -4.100000E-001
  1.498942899768E+002  2.433143580600E+000  1.100000E-015  2.850000E-016  8.850000E-016 -9.900000E+001
  1.498369699998E+002  2.344048018700E+000  3.280000E-015  4.350000E-016  4.530000E-015  2.400000E-001
  1.498421999897E+002  2.267533789500E+000  3.470000E-015  7.800000E-016  2.440000E-015 -2.900000E-001
  1.496807223210E+002  2.268215597440E+000  2.420000E-015  3.080000E-016  3.540000E-015 -9.900000E+001
  1.503237190740E+002  2.552666657840E+000  2.300000E-014  6.350000E-015  1.520000E-014 -2.400000E-001
  1.498695399704E+002  2.357774512700E+000  1.280000E-015  3.010000E-016 -7.540000E-015 -3.100000E-001
  1.499620056152E+002  2.210220000000E+000 -1.050000E-014  4.550000E-016 -3.020000E-015 -9.900000E+001
