 NUMBER     AGNF50_AGN
      J              E
                      
 182648           NULL
 182660           NULL
 182742           NULL
 182773           NULL
 182855           NULL
 182894           NULL
 182951           NULL
 182967           NULL
 182970           NULL
 182988           NULL
 183005           NULL
 183022           NULL
 183039           NULL
 183053           NULL
 183101           NULL
 183124           NULL
 183126           NULL
 183150           NULL
 183157           NULL
 183166           NULL
 183168           NULL
 183193           NULL
 183210           NULL
 183215           NULL
 183248           NULL
 183303           NULL
 183305           NULL
 183306           NULL
 183358           NULL
 183373           NULL
 183501           NULL
 183516           NULL
 183640           NULL
 183659           NULL
 183786           NULL
 183801           NULL
 183883           NULL
 183907           NULL
 183992           NULL
 184067           NULL
 184088           NULL
 184119           NULL
 184173           NULL
 184199           NULL
 184225           NULL
 184238           NULL
 184271           NULL
 184322           NULL
 184381           NULL
 184441           NULL
 184452           NULL
 184470           NULL
 184475           NULL
 184512           NULL
 184526           NULL
 184553           NULL
 184618           NULL
 184674           NULL
 184714           NULL
 184755           NULL
 184777           NULL
 184823           NULL
 184858           NULL
 184864           NULL
 184879           NULL
 184911           NULL
 184915           NULL
 184925           NULL
 184945           NULL
 184953           NULL
 184982           NULL
 184987           NULL
 184992           NULL
 185014           NULL
 185076           NULL
 185137           NULL
 185179           NULL
 185207           NULL
 185242           NULL
 185283           NULL
 185321           NULL
 185441           NULL
 185549           NULL
 185550           NULL
 185566           NULL
 185594           NULL
 185620           NULL
 185649           NULL
 185743           NULL
 185747           NULL
 185816           NULL
 185831           NULL
 185853           NULL
 185917           NULL
 186051           NULL
 186098           NULL
 186116           NULL
 186117           NULL
 186151           NULL
 186165           NULL
 186223           NULL
 186240           NULL
 186291           NULL
 186310           NULL
 186316           NULL
 186324           NULL
 186438           NULL
 186459           NULL
 186500           NULL
 186645           NULL
 186680           NULL
 186686           NULL
 186713           NULL
 186727           NULL
 187005           NULL
 187022           NULL
 187067           NULL
 187076           NULL
 187172           NULL
 187177           NULL
 187207           NULL
 187213           NULL
 187286           NULL
 187300           NULL
 187332           NULL
 187439           NULL
 187441           NULL
 187444           NULL
 187492           NULL
 187547           NULL
 187556           NULL
 187579           NULL
 187590           NULL
 187613           NULL
 187632           NULL
 187670           NULL
 187719           NULL
 187721           NULL
 187731           NULL
 187733           NULL
 187748           NULL
 187816           NULL
 187826           NULL
 187871           NULL
 187886           NULL
 187892           NULL
 187908           NULL
 187912           NULL
 187980           NULL
 188200           NULL
 188243           NULL
 188267           NULL
 188282           NULL
 188350           NULL
 188361           NULL
 188445           NULL
 188458           NULL
 188467           NULL
 188560           NULL
 188576           NULL
 188622           NULL
 188647           NULL
 188666           NULL
 188681           NULL
 188697           NULL
 188713           NULL
 188736           NULL
 188806           NULL
 188831           NULL
 188838           NULL
 188889           NULL
 188916           NULL
 188921           NULL
 188923           NULL
 189040           NULL
 189087           NULL
 189117           NULL
 189137           NULL
 189191           NULL
 189324           NULL
 189340           NULL
 189356           NULL
 189364           NULL
 189386           NULL
 189405           NULL
 189409           NULL
 189495           NULL
 189562           NULL
 189569           NULL
 189627           NULL
 189629           NULL
 189656           NULL
 189665           NULL
 189712           NULL
 189727           NULL
 189734           NULL
 189765           NULL
 189770           NULL
 189794           NULL
 189855           NULL
 189890           NULL
 189891           NULL
 190138           NULL
 190177           NULL
 190202           NULL
 190203           NULL
 190234           NULL
 190258           NULL
 190264           NULL
 190271           NULL
 190281           NULL
 190383           NULL
 190529           NULL
 190552           NULL
 190558           NULL
 190616           NULL
 190624           NULL
 190649           NULL
 190677           NULL
 190700           NULL
 190712           NULL
 190734           NULL
 190808           NULL
 190813           NULL
 190829           NULL
 190873           NULL
 190931           NULL
 190941           NULL
 190992           NULL
 191011           NULL
 191128           NULL
 191155           NULL
 191161           NULL
 191204           NULL
 191214           NULL
 191244           NULL
 191293           NULL
 191312           NULL
 191461           NULL
 191484           NULL
 191511           NULL
 191538           NULL
 191596           NULL
 191628           NULL
 191641           NULL
 191649           NULL
 191653           NULL
 191719           NULL
 191722           NULL
 191754           NULL
 191786           NULL
 191790           NULL
 191861           NULL
 191873           NULL
 191875           NULL
 191945           NULL
 191974           NULL
 191981           NULL
 192028           NULL
 192050           NULL
 192077           NULL
 192131           NULL
 192185           NULL
 192193           NULL
 192304           NULL
 192405           NULL
 192413           NULL
 192415           NULL
 192488           NULL
 192531           NULL
 192557           NULL
 192586           NULL
 192628           NULL
 192641           NULL
 192643           NULL
 192707           NULL
 192731           NULL
 192738           NULL
 192746           NULL
 192757           NULL
 192784           NULL
 192832           NULL
 192835           NULL
 192934           NULL
 192941           NULL
 192974           NULL
 193016           NULL
 193026           NULL
 193029           NULL
 193031           NULL
 193050           NULL
 193066           NULL
 193073           NULL
 193150           NULL
 193212           NULL
 193248           NULL
 193299           NULL
 193322           NULL
 193324           NULL
 193340           NULL
 193392           NULL
 193462           NULL
 193463           NULL
 193500           NULL
 193574           NULL
 193653           NULL
 193688           NULL
 193715           NULL
 193760           NULL
 193765           NULL
 193795           NULL
 193810           NULL
 193818           NULL
 193850           NULL
 193931           NULL
 193944           NULL
 193964           NULL
 194019           NULL
 194079           NULL
 194086           NULL
 194185           NULL
 194197           NULL
 194254           NULL
 194266           NULL
 194278           NULL
 194279           NULL
 194285           NULL
 194322           NULL
 194334           NULL
 194344           NULL
 194363           NULL
 194366           NULL
 194382           NULL
 194387           NULL
 194391           NULL
 194393           NULL
 194406           NULL
 194437           NULL
 194439           NULL
 194681           NULL
 194722           NULL
 194743           NULL
 194753           NULL
 194835           NULL
 194850           NULL
 194858           NULL
 194862           NULL
 194915           NULL
 195004           NULL
 195014           NULL
 195020           NULL
 195029           NULL
 195099           NULL
 195117           NULL
 195125           NULL
 195180           NULL
 195192           NULL
 195194           NULL
 195206           NULL
 195211           NULL
 195268           NULL
 195272           NULL
 195279           NULL
 195284           NULL
 195329           NULL
 195347           NULL
 195381           NULL
 195410           NULL
 195484           NULL
 195558           NULL
 195597           NULL
 195598           NULL
 195666           NULL
 195697           NULL
 195713           NULL
 195729           NULL
 195752           NULL
 195786           NULL
 195790           NULL
 195824           NULL
 195883           NULL
 196027           NULL
 196035           NULL
 196056           NULL
 196070           NULL
 196120           NULL
 196121           NULL
 196155           NULL
 196169           NULL
 196201           NULL
 196249           NULL
 196273           NULL
 196285           NULL
 196324           NULL
 196370           NULL
 196411           NULL
 196491           NULL
 196526           NULL
 196528           NULL
 196554           NULL
 196665           NULL
 196677           NULL
 196721           NULL
 196724           NULL
 196817           NULL
 196840           NULL
 196872           NULL
 196882           NULL
 196912           NULL
 196917           NULL
 196959           NULL
 197026           NULL
 197038           NULL
 197061           NULL
 197180           NULL
 197184           NULL
 197208           NULL
 197234           NULL
 197239           NULL
 197241           NULL
 197326           NULL
 197351           NULL
 197385           NULL
 197405           NULL
 197425           NULL
 197445           NULL
 197459           NULL
 197502           NULL
 197522           NULL
 197526           NULL
 197569           NULL
 197590           NULL
 197646           NULL
 197678           NULL
 197698           NULL
 197789           NULL
 197806           NULL
 197843           NULL
 197856           NULL
 197882           NULL
 197884           NULL
 197890           NULL
 197917           NULL
 197941           NULL
 197972           NULL
 197999           NULL
 198004           NULL
 198005           NULL
 198017           NULL
 198132           NULL
 198209           NULL
 198223           NULL
 198233           NULL
 198252           NULL
 198261           NULL
 198308           NULL
 198323           NULL
 198365           NULL
 198376           NULL
 198407           NULL
 198411           NULL
 198420           NULL
 198424           NULL
 198445           NULL
 198494           NULL
 198532           NULL
 198548           NULL
 198577           NULL
 198590           NULL
 198660           NULL
 198688           NULL
 198693           NULL
 198707           NULL
 198748           NULL
 198857           NULL
 198894           NULL
 198966           NULL
 198969           NULL
 199044           NULL
 199077           NULL
 199089           NULL
 199092           NULL
 199115           NULL
 199136           NULL
 199143           NULL
 199153           NULL
 199171           NULL
 199180           NULL
 199251           NULL
 199259           NULL
 199272           NULL
 199288           NULL
 199309           NULL
 199358           NULL
 199368           NULL
 199398           NULL
 199430           NULL
 199513           NULL
 199522           NULL
 199600           NULL
 199621           NULL
 199640           NULL
 199664           NULL
 199678           NULL
 199688           NULL
 199702           NULL
 199713           NULL
 199756           NULL
 199839           NULL
 199879           NULL
 199910           NULL
 199973           NULL
 199989           NULL
 200002           NULL
 200006           NULL
 200039           NULL
 200065           NULL
 200139           NULL
 200140           NULL
 200141           NULL
 200148           NULL
 200207           NULL
 200228           NULL
 200246           NULL
 200268           NULL
 200275           NULL
 200289           NULL
 200341           NULL
 200350           NULL
 200351           NULL
 200405           NULL
 200421           NULL
 200453           NULL
 200488           NULL
 200512           NULL
 200556           NULL
 200566           NULL
 200593           NULL
 200647           NULL
 200724           NULL
 200785           NULL
 200799           NULL
 200828           NULL
 200858           NULL
 200921           NULL
 200945           NULL
 200961           NULL
 200992           NULL
 201013           NULL
 201080           NULL
 201087           NULL
 201091           NULL
 201108           NULL
 201138           NULL
 201195           NULL
 201209           NULL
 201217           NULL
 201237           NULL
 201280           NULL
 201328           NULL
 201341           NULL
 201363           NULL
 201384           NULL
 201441           NULL
 201475           NULL
 201497           NULL
 201501           NULL
 201502           NULL
 201555           NULL
 201556           NULL
 201600           NULL
 201609           NULL
 201631           NULL
 201680           NULL
 201703           NULL
 201748           NULL
 201793           NULL
 201865           NULL
 201971           NULL
 202005           NULL
 202008           NULL
 202025           NULL
 202034           NULL
 202059           NULL
 202097           NULL
 202115           NULL
 202118           NULL
 202130           NULL
 202147           NULL
 202208           NULL
 202245           NULL
 202272           NULL
 202284           NULL
 202289           NULL
 202295           NULL
 202406           NULL
 202440           NULL
 202441           NULL
 202494           NULL
 202558           NULL
 202591           NULL
 202595           NULL
 202653           NULL
 202680           NULL
 202682           NULL
 202705           NULL
 202712           NULL
 202755           NULL
 202839           NULL
 202852           NULL
 202911           NULL
 202954           NULL
