#NUMBER      ALPHA_J2000          DELTA_J2000
#ID              RA                  DEC
#                deg                 deg
 145493  1.504111007713E+002  1.503482775580E+000
 145532  1.505920464999E+002  1.505593645546E+000
 145561  1.506247182473E+002  1.501710386679E+000
 145579  1.504043210560E+002  1.503086536117E+000
 145581  1.499851116066E+002  1.506109184461E+000
 145661  1.506165494722E+002  1.504893030353E+000
 145710  1.497071703373E+002  1.505515070524E+000
 145752  1.501307919451E+002  1.505096703533E+000
 145789  1.499230138151E+002  1.505005961506E+000
 145797  1.506333990683E+002  1.505435680457E+000
 145820  1.505933671901E+002  1.505995801725E+000
 145870  1.502107198512E+002  1.505014307513E+000
 145978  1.503164664393E+002  1.507011635184E+000
 146013  1.499664700389E+002  1.505558147132E+000
 146014  1.505806727649E+002  1.505981952370E+000
 146048  1.502275675570E+002  1.502094755267E+000
 146075  1.501305445315E+002  1.505696581432E+000
 146136  1.503444598035E+002  1.506072327226E+000
 146153  1.500019030258E+002  1.506086088991E+000
 146166  1.499899714667E+002  1.505654290122E+000
 146167  1.501817477439E+002  1.507123622731E+000
 146304  1.503956147929E+002  1.505259711009E+000
 146317  1.501814145751E+002  1.502101654652E+000
 146355  1.499644689425E+002  1.506513189415E+000
 146408  1.500682310569E+002  1.503721121470E+000
 146425  1.499976614455E+002  1.505200773351E+000
 146427  1.503823512684E+002  1.504130535523E+000
 146470  1.502611634129E+002  1.505309840173E+000
 146474  1.501775455782E+002  1.506904180193E+000
 146508  1.498760770365E+002  1.505513138293E+000
 146516  1.502334147717E+002  1.504695651338E+000
 146572  1.499676599248E+002  1.505051088953E+000
 146613  1.501651296141E+002  1.506285226890E+000
 146627  1.505116318555E+002  1.506669538757E+000
 146632  1.495890735593E+002  1.506412272893E+000
 146637  1.505330550234E+002  1.506885820313E+000
 146687  1.496160615429E+002  1.504720646394E+000
 146735  1.499436877123E+002  1.505177116425E+000
 146748  1.503716709157E+002  1.506434641916E+000
 146779  1.503836788693E+002  1.504899549952E+000
 146863  1.497203124829E+002  1.506503906900E+000
 146905  1.501248846041E+002  1.506313749789E+000
 146945  1.501752813574E+002  1.506016798101E+000
 146994  1.496042699452E+002  1.507984347873E+000
 146995  1.497768584551E+002  1.507796888106E+000
 147060  1.504996785759E+002  1.507549729078E+000
 147085  1.503887791662E+002  1.508287346965E+000
 147168  1.500668245030E+002  1.504982539532E+000
 147194  1.502915295661E+002  1.506439950396E+000
 147228  1.498096123554E+002  1.506023530764E+000
 147231  1.502288022067E+002  1.506157239674E+000
 147232  1.503090835999E+002  1.506536392354E+000
 147332  1.495957753009E+002  1.505060767213E+000
 147363  1.501283629257E+002  1.506446232663E+000
 147411  1.503601289921E+002  1.508534366573E+000
 147422  1.506320358190E+002  1.503784388051E+000
 147424  1.506163464303E+002  1.508203570153E+000
 147454  1.505207630564E+002  1.507537467110E+000
 147465  1.500888407398E+002  1.507198404444E+000
 147481  1.501423109305E+002  1.507244423035E+000
 147490  1.506248686356E+002  1.506459037692E+000
 147492  1.496416923069E+002  1.507482735655E+000
 147506  1.496019868521E+002  1.506744753275E+000
 147546  1.500570632516E+002  1.506494440660E+000
 147575  1.503960141584E+002  1.506566353578E+000
 147595  1.499632271704E+002  1.505222829186E+000
 147642  1.500069386812E+002  1.509248512203E+000
 147769  1.502222703564E+002  1.507535816997E+000
 147817  1.502293911872E+002  1.504310588923E+000
 147867  1.502652383589E+002  1.515170056996E+000
 147870  1.498596406583E+002  1.509146182657E+000
 147871  1.502054351690E+002  1.508990795546E+000
 147882  1.496616526980E+002  1.506573137436E+000
 147904  1.497789385710E+002  1.509412475987E+000
 147908  1.496985895803E+002  1.508251313872E+000
 147915  1.500542131030E+002  1.507892922437E+000
 148003  1.499474638155E+002  1.509165406139E+000
 148039  1.498524808551E+002  1.507605430025E+000
 148082  1.500691213531E+002  1.507795869775E+000
 148178  1.498502022520E+002  1.509983724192E+000
 148187  1.497188121737E+002  1.507355285412E+000
 148197  1.500518097497E+002  1.506344483415E+000
 148204  1.501891113102E+002  1.509707140161E+000
 148358  1.505790250102E+002  1.509522437631E+000
 148377  1.501518756914E+002  1.508051273390E+000
 148422  1.504445277030E+002  1.508719113798E+000
 148449  1.500775654797E+002  1.508647037017E+000
 148470  1.498381807047E+002  1.509114880536E+000
 148518  1.500038518537E+002  1.508001589434E+000
 148538  1.500175745988E+002  1.509222316628E+000
 148582  1.505637099224E+002  1.510005770470E+000
 148593  1.499678834883E+002  1.507417708553E+000
 148623  1.502913187927E+002  1.509069108974E+000
 148662  1.503180436386E+002  1.509762392456E+000
 148692  1.498065510986E+002  1.509215346780E+000
 148737  1.500694527057E+002  1.509313025626E+000
 148871  1.497690714481E+002  1.509369904418E+000
 148969  1.499556150561E+002  1.509126620350E+000
 149005  1.503561711574E+002  1.510656363570E+000
 149081  1.499888294593E+002  1.509086385000E+000
 149103  1.495902429767E+002  1.509784095113E+000
 149141  1.504080127745E+002  1.509447396949E+000
 149202  1.498386313923E+002  1.510066884567E+000
 149240  1.503850269047E+002  1.507140995564E+000
 149278  1.503205992537E+002  1.511580646911E+000
 149420  1.501309385785E+002  1.509961315899E+000
 149433  1.501010487930E+002  1.510357138364E+000
 149476  1.505262362947E+002  1.510610035051E+000
 149480  1.498634221777E+002  1.510866707031E+000
 149488  1.500808288923E+002  1.509129045436E+000
 149585  1.501937983586E+002  1.509221912052E+000
 149586  1.500704198165E+002  1.511731769649E+000
 149597  1.499265304752E+002  1.510096665156E+000
 149716  1.505989683989E+002  1.511757868086E+000
 149730  1.502427096396E+002  1.511150201837E+000
 149886  1.498896262834E+002  1.512126117304E+000
 149888  1.497125357246E+002  1.510421348157E+000
 149896  1.502998539059E+002  1.512159380231E+000
 149916  1.503326909390E+002  1.510453629795E+000
 149919  1.502903510424E+002  1.510481621189E+000
 149979  1.505829656959E+002  1.512363483002E+000
 150052  1.501913348843E+002  1.512300182335E+000
 150058  1.499400217259E+002  1.508931103584E+000
 150108  1.501432335066E+002  1.507337299703E+000
 150163  1.499509453757E+002  1.509179250374E+000
 150214  1.500570828191E+002  1.509619939627E+000
 150232  1.503078439187E+002  1.509792860858E+000
 150296  1.503907739806E+002  1.508323933797E+000
 150321  1.497676239948E+002  1.511894055299E+000
 150379  1.499469122028E+002  1.512091206702E+000
 150432  1.503195468783E+002  1.512441498369E+000
 150450  1.498728791959E+002  1.512380044232E+000
 150510  1.503719930664E+002  1.511808733564E+000
 150525  1.497178408421E+002  1.511348451535E+000
 150555  1.501813032682E+002  1.513100581303E+000
 150562  1.500755180428E+002  1.512120275007E+000
 150588  1.501689801523E+002  1.509123714027E+000
 150605  1.497537847625E+002  1.510649761405E+000
 150628  1.503082822544E+002  1.508706254907E+000
 150629  1.505118409636E+002  1.511373223894E+000
 150677  1.501735817310E+002  1.513523516756E+000
 150722  1.498270445638E+002  1.512317279260E+000
 150801  1.496512009598E+002  1.513384477360E+000
 150831  1.505808579788E+002  1.509809944747E+000
 150855  1.497893117758E+002  1.511275618887E+000
 150868  1.503245712446E+002  1.510097409979E+000
 150883  1.503327760349E+002  1.511352075166E+000
 150886  1.499381508522E+002  1.513446921589E+000
 150891  1.503166517067E+002  1.513742918440E+000
 151029  1.503322222771E+002  1.513586818262E+000
 151052  1.504947150881E+002  1.513829583014E+000
 151093  1.500569230675E+002  1.510796429056E+000
 151140  1.502421449646E+002  1.511972856006E+000
 151257  1.502366780662E+002  1.512716064308E+000
 151278  1.495885915984E+002  1.509315633536E+000
 151296  1.498175263315E+002  1.514140763120E+000
 151326  1.505952398452E+002  1.513186281660E+000
 151390  1.505522574912E+002  1.513444986233E+000
 151418  1.495984715515E+002  1.512085266304E+000
 151436  1.503518901585E+002  1.514191585542E+000
 151446  1.500490797243E+002  1.512824681657E+000
 151505  1.502898091651E+002  1.513073684077E+000
 151642  1.499558773040E+002  1.511103677803E+000
 151665  1.496957389539E+002  1.513205794381E+000
 151675  1.498850113253E+002  1.512771367779E+000
 151700  1.497529929967E+002  1.513404377258E+000
 151765  1.504116095074E+002  1.510631373080E+000
 151785  1.505000630430E+002  1.514726514371E+000
 151805  1.503043703824E+002  1.513736222243E+000
 151851  1.498187011257E+002  1.512577212003E+000
 151853  1.503456479484E+002  1.512979614396E+000
 151866  1.502810673881E+002  1.515111968950E+000
 151874  1.501072000642E+002  1.511773217526E+000
 151896  1.498829181701E+002  1.513741090950E+000
 151942  1.506147333072E+002  1.512361492034E+000
 151955  1.502513611282E+002  1.509876634783E+000
 152000  1.499981911669E+002  1.513467249252E+000
 152060  1.502658705738E+002  1.512759551029E+000
 152070  1.505106427034E+002  1.510971175254E+000
 152105  1.500741897145E+002  1.514633967646E+000
 152122  1.500605915901E+002  1.511727064036E+000
 152147  1.498841647774E+002  1.515496261799E+000
 152207  1.500544677803E+002  1.514382095906E+000
 152328  1.500661886009E+002  1.514156876546E+000
 152379  1.504333459195E+002  1.514649004892E+000
 152440  1.496991970451E+002  1.512903940369E+000
 152552  1.503349918946E+002  1.516081041212E+000
 152566  1.504351890671E+002  1.514561508815E+000
 152628  1.502661333959E+002  1.516104837275E+000
 152755  1.504156690053E+002  1.513194353600E+000
 152830  1.497048974622E+002  1.512385358185E+000
 152848  1.503338681328E+002  1.515932131517E+000
 152905  1.497959689810E+002  1.515342396460E+000
 153004  1.505662684104E+002  1.514881653669E+000
 153005  1.497080676863E+002  1.512851649756E+000
 153008  1.502523128352E+002  1.513214742209E+000
 153014  1.500220596068E+002  1.515555600804E+000
 153058  1.504275569673E+002  1.516134629298E+000
 153256  1.496698415984E+002  1.513579348197E+000
 153279  1.501409130561E+002  1.514262576406E+000
 153289  1.495982927581E+002  1.515159468533E+000
 153353  1.504428284716E+002  1.513421619428E+000
 153410  1.504302413178E+002  1.515208276865E+000
 153437  1.501679612803E+002  1.517296471150E+000
 153455  1.504286275485E+002  1.512298696958E+000
 153476  1.500953828633E+002  1.516670677658E+000
 153512  1.498589202802E+002  1.515909637208E+000
 153540  1.495775151627E+002  1.516088982788E+000
 153607  1.505191228596E+002  1.515710881839E+000
 153644  1.502509719097E+002  1.515778612854E+000
 153662  1.504019215252E+002  1.516377129288E+000
