# ID_Ours 	 ID_MAGPHYS 	 Distance(Arc Seconds) 
 
953.0	586421.0	2.80185924731e-09
961.0	586199.0	9.25104238614e-09
977.0	586421.0	1.03705039931e-07
1022.0	587530.0	3.74754934514e-09
1047.0	586946.0	2.66228636433e-09
1051.0	586131.0	4.57963420453e-09
1051.0	586698.0	9.99999191914e-08
1060.0	586131.0	9.48464987523e-08
1060.0	586698.0	7.49325037858e-10
1091.0	587344.0	6.83184192071e-10
1097.0	587234.0	8.05638004785e-08
1120.0	587871.0	9.11229801474e-08
1129.0	587871.0	5.36073808282e-09
1145.0	587234.0	1.60420086171e-09
1194.0	587742.0	7.16518999956e-10
1239.0	588371.0	8.24286809797e-09
1266.0	588765.0	1.76757196379e-08
1272.0	589111.0	1.25534864868e-09
1283.0	589408.0	9.35358942849e-08
1298.0	588172.0	1.26558963457e-09
1300.0	588961.0	5.69532974799e-09
1301.0	589117.0	8.75281278135e-10
1346.0	589323.0	1.84620399978e-09
1355.0	589945.0	3.66593666621e-09
1359.0	589408.0	5.18021050935e-10
1409.0	590868.0	3.77196993353e-09
1446.0	590140.0	1.83146679694e-09
1520.0	590373.0	3.99242808709e-09
1540.0	590722.0	3.6174744052e-09
1572.0	591097.0	1.17857033098e-08
1602.0	591188.0	2.21867000487e-09
1608.0	591219.0	6.56434181887e-08
1615.0	591219.0	8.40296479116e-09
1627.0	591055.0	6.25401974155e-09
1652.0	593373.0	2.16936818658e-09
1676.0	592134.0	1.97942287758e-09
1677.0	587726.0	2.61480499345e-09
1685.0	593721.0	1.340749057e-07
1702.0	592413.0	2.79352183133e-08
1710.0	592870.0	4.36332193177e-09
1712.0	591949.0	9.06874427115e-09
1715.0	591978.0	7.62810195856e-10
1717.0	591949.0	7.60629260298e-08
1719.0	592413.0	3.74852228399e-08
1728.0	594114.0	4.28911091129e-09
1743.0	592413.0	1.51426199163e-09
1752.0	592764.0	2.99564222841e-09
1754.0	593679.0	2.99624935888e-09
1755.0	592131.0	1.42110735944e-07
1767.0	592817.0	7.58718278857e-08
1794.0	592131.0	2.2833302323e-08
1811.0	592817.0	1.45892213542e-09
1821.0	592131.0	4.5981066788e-08
1845.0	593721.0	4.42599063324e-09
1855.0	593504.0	3.00022251482e-09
1896.0	593675.0	2.18149960303e-08
1897.0	594147.0	3.63076457918e-09
1900.0	592131.0	1.12103514903e-07
1901.0	593749.0	1.40968176387e-07
1904.0	593420.0	2.75787187133e-09
1920.0	593315.0	2.6642167283e-09
1936.0	594031.0	4.75516009329e-09
1938.0	594397.0	3.13079872962e-08
1941.0	593749.0	2.8325184621e-09
1948.0	594031.0	1.1631337482e-07
1954.0	594058.0	1.15988708377e-07
1960.0	593897.0	6.31438077723e-09
1962.0	594166.0	8.52349768007e-09
1981.0	593906.0	5.7400716082e-09
2010.0	594058.0	4.06382420154e-09
2011.0	595089.0	1.19924621886e-07
2014.0	594301.0	2.30859456042e-09
2016.0	594496.0	2.82583928742e-09
2067.0	594776.0	3.8821636682e-09
2080.0	595089.0	1.07843824825e-08
2085.0	594397.0	7.97570028343e-09
2088.0	594672.0	7.24546386374e-11
2089.0	594200.0	1.34208763024e-07
2103.0	594200.0	2.34739893831e-09
2123.0	597349.0	1.50552440621e-07
2144.0	595181.0	1.28781236284e-09
2213.0	596108.0	5.87976995177e-09
2238.0	596637.0	4.50651698965e-10
2253.0	596302.0	2.59189018039e-09
2265.0	596124.0	1.97930134502e-09
2270.0	595708.0	4.83333156824e-09
2292.0	597261.0	4.54432720025e-10
2335.0	595884.0	1.07433756728e-07
2338.0	598406.0	3.75861379687e-09
2348.0	598098.0	8.68221755883e-08
2348.0	598436.0	1.45873508244e-07
2379.0	597370.0	1.39070084986e-07
2405.0	598098.0	1.40313225949e-07
2406.0	598159.0	4.33208193466e-09
2433.0	598630.0	4.37251059305e-08
2442.0	581509.0	1.80902968817e-09
2446.0	597859.0	8.19373992973e-09
2449.0	598436.0	6.22455772691e-08
2472.0	597820.0	2.83343038866e-09
2473.0	598441.0	2.76099672779e-09
2476.0	598630.0	2.46495262133e-08
2478.0	597252.0	2.3925617142e-09
2483.0	598169.0	2.66979446284e-09
2486.0	598163.0	1.29205221863e-08
2488.0	597370.0	2.51515294937e-09
2495.0	595884.0	9.52916208318e-08
2496.0	597757.0	2.15309649298e-09
2500.0	597349.0	3.43783272967e-09
2504.0	595884.0	1.93595414257e-09
2512.0	598005.0	2.79304183312e-09
2518.0	598378.0	6.04690141118e-10
2522.0	598098.0	4.02355380264e-09
2543.0	598436.0	1.29781649336e-08
2548.0	598068.0	4.31600007751e-09
2550.0	598775.0	1.23351813339e-09
2563.0	598135.0	5.46348885685e-09
2578.0	598417.0	2.43405033014e-09
2626.0	598068.0	1.44678766595e-07
2632.0	599248.0	1.52874058189e-07
2633.0	597370.0	9.23517798937e-08
2677.0	597570.0	1.6384917052e-08
2696.0	601267.0	3.2431437798e-09
2699.0	599248.0	3.48678666134e-09
2713.0	599287.0	2.17165944479e-09
2754.0	597743.0	2.84001159063e-09
2769.0	600305.0	1.48521510514e-09
2775.0	599953.0	1.09912010543e-07
2779.0	600601.0	2.50876320412e-08
2800.0	600465.0	4.80883788668e-08
2820.0	600465.0	2.71426846745e-08
2836.0	600383.0	7.58555966611e-09
2843.0	600601.0	4.58113183985e-08
2849.0	600541.0	2.40950038737e-09
2869.0	599953.0	3.66712675099e-09
2891.0	603117.0	5.34766025133e-08
2901.0	602102.0	2.15368009531e-09
2925.0	600925.0	3.51547622005e-09
2934.0	603117.0	1.38335051691e-07
2965.0	601351.0	3.51420805192e-09
2997.0	601353.0	3.84079228286e-10
3000.0	601489.0	3.2947595547e-09
3008.0	602525.0	1.89007093845e-09
3018.0	601669.0	5.54527993268e-09
3082.0	601798.0	2.94234695368e-09
3109.0	603117.0	1.91118847351e-09
3118.0	602238.0	3.55086708759e-09
3139.0	602621.0	2.88848885939e-09
3150.0	602751.0	9.2638599272e-10
3175.0	600828.0	5.33558697636e-09
3186.0	596994.0	6.59851113929e-09
3237.0	604672.0	1.5176944068e-07
3238.0	603183.0	4.01751367157e-09
3271.0	603780.0	3.66798792036e-09
3282.0	604848.0	1.85169321338e-08
3291.0	605061.0	2.42764052483e-09
3293.0	604041.0	9.21134704942e-09
3355.0	604946.0	2.24508580491e-09
3358.0	590981.0	2.25992878974e-09
3367.0	604672.0	9.51080495474e-10
3417.0	603779.0	4.20179196165e-09
3458.0	604693.0	2.1265988025e-09
3483.0	605165.0	2.26579044123e-09
3493.0	604973.0	1.50424907759e-09
3508.0	607561.0	1.1572651316e-07
3530.0	606737.0	1.13315817838e-08
3532.0	605082.0	2.06777725891e-09
3546.0	604900.0	7.60181950694e-09
3548.0	605408.0	1.06317492011e-09
3580.0	605293.0	7.91695747704e-10
3584.0	605953.0	5.99226255239e-10
3605.0	605445.0	5.88782478411e-10
3616.0	606680.0	3.10999011577e-09
3618.0	607340.0	1.1533551308e-08
3634.0	605713.0	3.44447781972e-09
3639.0	606174.0	4.98014995905e-09
3672.0	606820.0	1.06959520543e-09
3711.0	606624.0	4.37586151353e-09
3732.0	606532.0	4.16879764039e-09
3741.0	607340.0	3.71939227949e-08
3750.0	607064.0	7.07553553957e-08
3757.0	607561.0	1.58222233962e-08
3784.0	607064.0	8.01091989609e-09
