487.0	nan	nan
493.0	-0.32034	nan
496.0	-0.3077	-0.90809
502.0          0.288332941609430240.19208128135791824
504.0	-1.89729	-0.15345
509.0	-0.03423	nan
510.0	0.45137	nan
511.0	0.0759	nan
513.0	nan	-0.13121
515.0	0.13638	-0.61725
518.0	-0.59173	-0.14327
523.0	nan	0.32179
524.0	0.32777	-0.11615
532.0	-0.36295	-0.3625
533.0	0.10284	-0.48445
543.0	-0.19595	-0.43374
544.0	-0.21526	0.12245
545.0          0.31602086888972170.2775402558153541
551.0	nan	nan
552.0	nan	nan
553.0	nan	nan
555.0	0.03681	-0.24141
561.0	-0.23595	-0.33065
562.0	-0.14541	-0.19542
566.0	-0.35839	-0.10861
567.0          0.42708163719057570.428036025915174
572.0	-0.06804	-0.19932
575.0	nan	nan
578.0	nan	-0.03996
579.0	-0.16004	-0.63281
581.0	-1.71625	0.52297
582.0	-0.06225	0.97108
587.0	-0.58591	0.00937
602.0	0.03499	nan
610.0	-0.28157	-0.36097
616.0	nan	0.568
621.0	nan	-0.31223
629.0	nan	nan
630.0	-2.0045	-0.1248
631.0	1.47173	nan
634.0	-0.40814	-0.74962
644.0          0.46575760969911650.5260393082574387
654.0	-0.19879	-0.46076
658.0	0.02456	nan
679.0	0.09242	-0.03599
680.0	-1.21761	-0.29903
684.0	0.17416	-0.14383
687.0	-0.28887	-0.52022
696.0	-0.46264	-0.49212
703.0	-0.28978	-0.20343
724.0	0.48028	nan
725.0	-0.36659	-0.06433
728.0	-0.24066	nan
741.0	nan	-0.09741
750.0          0.161492758867788520.2640917635870948
756.0	0.72244	nan
757.0	-0.23385	-0.0934
758.0	nan	-0.5596
765.0	-0.54673	-0.43956
770.0	-0.71102	nan
775.0	-0.28793	nan
777.0	1.52331	1.52654
794.0	-1.07667	0.27385
801.0	nan	nan
803.0	-0.25442	-0.22795
817.0	-1.35244	nan
824.0	0.18132	-0.13902
828.0	-0.32038	-0.39251
832.0	nan	0.207
834.0	nan	0.11278
836.0	-0.22277	-0.1287
849.0	-0.22466	-0.61274
852.0	nan	nan
853.0	-0.21776	-0.04804
854.0	-0.31731	-0.40646
856.0	-0.17364	-0.48797
864.0	0.25744	-0.05884
865.0          0.53851977002459210.48587003381470384
874.0	nan	nan
875.0	-1.3357	-0.40059
886.0	-0.67418	-0.52628
889.0	0.3538	nan
898.0	nan	0.19649
899.0	-0.47198	-0.31515
902.0	nan	0.40613
906.0          0.29411009743741120.3935533071519546
910.0	-0.28607	-0.35362
913.0	nan	nan
915.0	nan	nan
919.0	2.2012	1.12147
928.0	0.67508	0.50572
934.0	-0.81427	nan
941.0	-0.16814	-0.09952
942.0	0.42602	-0.15471
944.0	-0.27633	-0.33273
947.0	0.12807	0.12798
948.0	-0.22053	nan
953.0	-0.36006	-0.98434
961.0	-0.31009	-0.39966
963.0	-0.9293	-0.29729
968.0          0.32345699485152120.3980113324559836
969.0	nan	nan
977.0	-0.15542	-0.05704
984.0	nan	nan
998.0	0.21198	-0.71999
1000.0	-0.24262	-0.06703
1007.0	-0.17418	-0.02579
1013.0	-0.54711	nan
1022.0	-0.29879	-0.39283
1023.0	nan	nan
1031.0	-0.38448	-0.639
1038.0	-0.0165	-0.67436
1047.0	-0.38519	-0.30671
1051.0	-0.07536	-0.14965
1054.0	-0.24829	-0.46363
